Threads,Runtimes,Actual S(n),AL S(n) (P=0.9),AL S(n) (P=0.95),Efficiency
1,25.632784,1.0,1.0,1.0,1.0
2,14.026883673469388,1.8274040475919928,1.8181818181818181,1.9047619047619047,0.9137020237959964
4,7.867836,3.257920475210719,3.0769230769230775,3.478260869565217,0.8144801188026798
6,5.800682600000001,4.418925455428297,4.000000000000001,4.799999999999999,0.7364875759047161
8,4.716272399999999,5.434966818286409,4.7058823529411775,5.925925925925925,0.6793708522858011
10,4.1215518,6.219207047209744,5.2631578947368425,6.896551724137929,0.6219207047209744
12,3.7696158000000004,6.799839920025802,5.714285714285714,7.741935483870965,0.5666533266688168
14,3.5471085999999996,7.226388275791726,6.086956521739132,8.484848484848483,0.5161705911279805
16,3.3704317999999995,7.6051929013961965,6.400000000000001,9.142857142857139,0.4753245563372623
18,3.242493599999999,7.905268957200103,6.666666666666668,9.729729729729724,0.43918160873333906
20,3.145218163265306,8.149763440698349,6.896551724137933,10.256410256410252,0.40748817203491744
22,3.0080682000000003,8.521344030697175,7.096774193548389,10.731707317073166,0.38733381957714436
24,2.8834503999999996,8.889621961244766,7.272727272727273,11.162790697674414,0.37040091505186523
26,2.7826698,9.211579469472088,7.428571428571431,11.55555555555555,0.3542915180566188
28,2.6947628000000003,9.51207430947169,7.567567567567569,11.914893617021272,0.3397169396239889
30,2.6317699999999995,9.739750814090899,7.692307692307693,12.244897959183668,0.3246583604696966
32,2.5531642,10.039614373411629,7.8048780487804885,12.54901960784313,0.3137379491691134
34,2.540655,10.08904554140566,7.906976744186049,12.830188679245277,0.2967366335707547
36,2.5126654,10.20143151571236,8.000000000000002,13.090909090909083,0.28337309765867663
38,2.508282857142857,10.21925574582042,8.085106382978724,13.333333333333327,0.2689277827847479
40,2.5943560000000003,9.880210734378782,8.163265306122451,13.559322033898297,0.24700526835946954
42,2.7443418000000004,9.340230141886844,8.23529411764706,13.770491803278679,0.22238643194968674
44,2.7230641999999996,9.413213247047207,8.301886792452832,13.96825396825396,0.21393666470561834
46,2.6457606,9.688247681970925,8.363636363636365,14.153846153846146,0.21061408004284618
48,2.6311555999999996,9.742025139068174,8.421052631578949,14.328358208955216,0.20295885706392028
50,2.593405,9.883833801508056,8.474576271186443,14.492753623188396,0.19767667603016112
52,2.5640724,9.99690336357117,8.524590163934429,14.647887323943655,0.19224814160713788
54,2.522921,10.159962995274128,8.571428571428573,14.794520547945197,0.1881474628754468
56,2.4873092,10.305427246439647,8.615384615384617,14.933333333333325,0.18402548654356513
58,2.4659151999999995,10.394835961917915,8.656716417910449,15.064935064935053,0.1792213096882399
60,2.4741193999999997,10.360366601547202,8.695652173913045,15.189873417721508,0.17267277669245337
62,2.4607984,10.41645020575436,8.732394366197186,15.308641975308632,0.16800726138313485
64,2.4682462000000003,10.385019128156664,8.767123287671234,15.421686746987941,0.16226592387744787
66,2.4512076,10.457206480593484,8.8,15.529411764705873,0.15844252243323462
68,2.4503214000000004,10.460988505426267,8.831168831168833,15.632183908045965,0.1538380662562686
70,2.4397254,10.506421747299923,8.860759493670887,15.730337078651676,0.15009173924714175
72,2.4246184000000004,10.571883806540443,8.888888888888891,15.824175824175814,0.14683171953528393
74,2.430614,10.545806121416236,8.915662650602412,15.913978494623647,0.14251089353265184
76,2.4352436,10.525757669581802,8.941176470588237,15.99999999999999,0.13849681144186582
78,2.4481814285714285,10.470132524025123,8.965517241379311,16.082474226804113,0.13423246825673235
80,2.5377792,10.100478402533994,8.988764044943823,16.161616161616152,0.12625598003167493
